,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
371,Ciudad Bolivar,100,VE,1561272199,91,8.12,-63.55,75.83,6.22
372,Marsa Matruh,0,EG,1561272200,82,31.35,27.25,77.09,14.67
373,Cockburn Town,26,TC,1561271938,84,21.46,-71.14,80.15,15.84
374,Killybegs,100,IE,1561272202,70,54.63,-8.45,59.0,10.0
375,Nusaybin,0,TR,1561272203,15,37.08,41.21,96.8,9.17
376,Touros,0,BR,1561272203,94,-5.2,-35.46,71.6,6.93
377,Longyearbyen,40,NO,1561272204,70,78.22,15.63,48.2,4.7
378,Ballina,75,IE,1561272205,81,54.11,-9.15,59.0,11.41
379,Awbari,45,LY,1561272206,16,26.59,12.77,83.75,16.22
380,Vila Velha,0,BR,1561272207,74,-3.71,-38.6,86.0,9.17
381,Goundam,0,ML,1561272208,46,16.42,-3.66,86.45,10.65
382,Yar-Sale,91,RU,1561272209,40,66.83,70.83,65.75,18.75
383,Jiuquan,87,CN,1561272210,34,39.73,98.49,76.37,6.91
384,Mercedes,100,UY,1561272211,88,-33.25,-58.03,68.0,5.01
385,Geraldton,5,CA,1561272212,71,49.72,-86.95,51.8,2.24
386,Sambava,56,MG,1561272213,82,-14.27,50.17,74.03,2.48
387,Ponca City,90,US,1561272213,88,36.73,-97.07,80.6,6.93
388,Krasnoborsk,4,RU,1561272214,43,61.56,45.93,68.99,12.01
389,Igarka,100,RU,1561272215,44,67.47,86.57,55.85,1.19
390,Oak Ridge,90,US,1561272216,94,36.01,-84.27,72.0,1.14
391,Union,90,US,1561272217,82,47.36,-123.1,61.0,5.82
392,Lewistown,75,US,1561272218,83,40.39,-90.15,73.99,10.29
393,Taybad,0,IR,1561272219,12,34.74,60.78,87.89,20.45
394,Ancud,90,CL,1561272220,100,-41.87,-73.83,48.2,8.05
395,Sire,74,ET,1561272221,67,8.28,39.49,69.71,7.61
396,Coahuayana,100,MX,1561272221,90,18.62,-100.35,74.21,2.89
397,Arcos de la Frontera,0,ES,1561272222,82,36.75,-5.81,70.0,1.12
398,Kavaratti,20,IN,1561272223,66,10.57,72.64,89.6,16.11
399,Nha Trang,20,VN,1561272225,45,12.24,109.19,100.4,14.99
400,Alyangula,0,AU,1561272226,53,-13.85,136.42,75.2,9.17
401,Stromness,20,CA,1561272227,76,42.87,-79.55,61.0,5.82
402,Cheremukhovo,3,RU,1561272228,57,56.23,46.23,79.61,8.39
403,Tamandare,89,BR,1561272229,77,-8.28,-70.75,70.43,1.92
404,Portland,20,US,1561272229,77,45.52,-122.67,61.0,5.95
405,Nishihara,75,JP,1561272230,78,35.74,139.53,73.99,5.82
406,Agadez,0,NE,1561272231,36,16.97,7.99,90.59,7.81
407,Oistins,75,BB,1561272065,94,13.07,-59.53,78.8,8.05
408,Puerto Maldonado,0,PE,1561272233,77,-12.59,-69.19,68.09,1.1
409,Rafaela,100,AR,1561272234,73,-31.25,-61.49,66.0,1.99
410,Broken Hill,0,AU,1561272235,43,-31.97,141.45,51.8,16.11
411,Westport,75,IE,1561272236,81,53.8,-9.52,59.0,11.41
412,Churapcha,0,RU,1561272237,39,62.0,132.43,75.47,10.49
413,Chinhoyi,0,ZW,1561272238,65,-17.36,30.19,60.17,2.21
414,Troitskoye,98,RU,1561272238,90,52.98,84.68,58.55,8.43
415,Ca Mau,100,VN,1561272195,77,9.18,105.15,85.19,8.37
416,Puerto Madero,0,AR,1561272240,88,-34.61,-58.36,64.99,4.54
417,Kelvington,56,CA,1561272241,95,52.16,-103.52,49.37,7.65
418,Chenzhou,100,CN,1561272242,97,25.81,113.03,70.07,2.93
419,Fort Nelson,75,CA,1561272243,82,58.81,-122.69,57.2,5.82
420,Bone,20,ID,1561272244,62,-5.29,119.42,89.6,10.29
421,Morant Bay,0,JM,1561272245,61,17.88,-76.41,82.4,3.36
422,Ponnampet,75,IN,1561272246,94,12.15,75.93,82.4,5.82
423,Vostok,25,RU,1561272247,63,46.45,135.83,74.93,2.15
424,San Pedro,100,AR,1561272023,94,-33.68,-59.66,62.01,6.13
425,Port Augusta,0,AU,1561272250,35,-32.49,137.76,55.4,6.93
426,Luderitz,0,NA,1561272251,61,-26.65,15.16,50.0,1.12
427,Poum,63,MK,1561272252,75,41.28,20.71,70.25,3.65
428,Tiarei,75,PF,1561272253,83,-17.53,-149.33,75.2,3.36
429,Los Llanos de Aridane,20,ES,1561272254,72,28.66,-17.92,68.0,1.12
430,Baculin,86,PH,1561272255,88,7.45,126.58,80.15,2.68
431,Batagay-Alyta,100,RU,1561272256,51,67.8,130.41,63.95,14.38
432,Rongcheng,0,CN,1561272257,56,37.16,122.42,76.91,8.3
433,Padang,97,ID,1561272258,70,-0.92,100.36,83.93,12.8
434,Erenhot,85,CN,1561272259,44,43.65,111.97,74.57,17.72
435,Swamimalai,100,IN,1561272260,41,10.96,79.32,95.63,15.84
436,Hovd,75,NO,1561272260,76,63.83,10.7,55.0,5.82
437,Kumi,25,UG,1561272262,83,1.49,33.93,70.43,4.12
438,Marystown,100,CA,1561272263,95,47.17,-55.16,45.95,18.57
439,Mahibadhoo,68,MV,1561272264,76,3.78,72.97,83.39,10.63
440,Ulluaya,0,RU,1561272264,45,42.37,47.37,87.8,8.95
441,Yerbogachen,9,RU,1561272266,27,61.28,108.01,75.11,3.91
442,Grahamstown,98,ZA,1561272267,95,-33.31,26.53,60.01,8.01
443,Latung,67,ID,1561272267,54,-8.45,120.42,83.57,5.79
444,Gubkinskiy,0,RU,1561272268,47,64.43,76.5,58.55,6.24
445,Saint-Denis,0,FR,1561272001,72,48.94,2.36,69.01,4.7
446,Istok,0,PL,1561272270,55,52.66,23.48,64.99,11.18
447,Vardo,1,US,1561272271,93,39.62,-77.74,61.0,3.18
448,Kabo,91,CF,1561272272,90,7.69,18.62,74.21,4.54
449,Koygorodok,75,RU,1561272272,71,60.44,51.01,72.59,12.03
450,Enterprise,1,US,1561271984,78,31.32,-85.86,78.8,4.7
451,Pozo Colorado,0,PY,1561272274,73,-23.49,-58.8,66.29,6.4
452,Tuyen Quang,100,VN,1561272274,64,21.82,105.22,91.85,2.42
453,Hervey Bay,75,AU,1561272011,56,-25.3,152.85,68.0,12.75
454,Jatai,0,IN,1561272276,20,28.97,76.18,105.89,3.89
455,Nalgonda,73,IN,1561272277,53,17.05,79.27,89.51,3.8
456,Flinders,90,AU,1561272278,93,-34.58,150.85,57.0,16.11
457,Yerraguntla,40,IN,1561272279,52,14.64,78.54,93.2,16.11
458,Grand-Santi,68,GF,1561272280,99,4.27,-54.38,71.33,1.66
459,Mattawa,1,CA,1561272281,75,46.32,-78.7,52.0,9.17
460,Tornio,0,FI,1561272281,45,61.12,27.27,62.6,10.29
461,Havoysund,0,NO,1561272282,57,71.0,24.66,50.0,6.93
462,Agrafa,37,GR,1561272283,72,39.14,21.65,69.01,2.46
463,Yaan,71,NG,1561272284,93,7.38,8.57,74.75,4.9
464,Paka,40,HR,1561272285,93,45.29,18.06,66.2,10.29
465,Berca,5,RO,1561272286,69,45.29,26.68,77.0,9.17
466,Chishan,75,TW,1561272287,89,22.64,120.36,86.0,6.93
467,Quilmana,78,PE,1561272288,88,-12.95,-76.38,59.81,4.05
468,Ahipara,37,NZ,1561272289,100,-35.17,173.16,54.0,20.09
469,Saint-Augustin,0,FR,1561272290,72,44.83,-0.61,66.2,6.93
470,Husavik,34,CA,1561272291,88,50.56,-96.99,59.0,5.01
471,Praia,0,BR,1561272291,82,-20.25,-43.81,60.8,2.06
472,Naze,86,NG,1561272292,94,5.43,7.07,72.59,3.44
473,Mont-de-Marsan,0,FR,1561272281,77,43.89,-0.5,68.0,5.82
474,Saint-Joseph,0,FR,1561272294,77,43.56,6.97,73.99,3.36
475,Iskateley,85,RU,1561272295,60,67.68,53.15,45.95,8.16
476,Mucurapo,20,TT,1561272296,94,10.67,-61.53,77.0,13.62
477,Belousovka,75,KZ,1561272296,68,50.13,82.52,64.4,20.13
478,Kysyl-Syr,100,RU,1561272297,95,63.9,122.77,54.41,10.27
479,Merauke,1,ID,1561272298,81,-8.49,140.4,78.17,19.86
480,Palmer,0,AU,1561272299,50,-34.85,139.16,55.0,9.17
481,Kirovo-Chepetsk,48,RU,1561272300,63,58.54,50.03,75.29,11.7
482,Otjiwarongo,0,NA,1561272301,34,-20.46,16.65,51.8,4.7
483,Varzea da Palma,0,BR,1561272302,92,-17.6,-44.73,58.37,1.59
484,Gondang,20,ID,1561272303,46,-7.56,110.27,91.4,7.38
485,Nador,75,MA,1561272304,68,35.17,-2.93,71.6,3.36
486,Horsham,1,AU,1561272305,54,-36.71,142.2,53.51,2.1
487,Kopervik,75,NO,1561272306,76,59.28,5.31,57.2,9.17
488,Mwinilunga,9,ZM,1561272306,56,-11.73,24.43,55.13,5.86
489,Letlhakeng,0,BW,1561272308,55,-24.1,25.03,51.89,3.15
490,Wuwei,99,CN,1561272309,33,37.93,102.64,81.59,9.98
491,Vesyegonsk,0,RU,1561272310,51,58.67,37.27,64.85,7.81
492,Sembakung,20,ID,1561272310,70,3.82,117.25,89.6,3.36
493,Tazovskiy,0,RU,1561272311,54,67.47,78.7,52.61,13.35
494,Angostura,0,MX,1561272312,83,25.37,-108.16,72.0,1.48
495,Pitimbu,40,BR,1561272313,94,-7.47,-34.81,71.6,5.82
496,Ambilobe,21,MG,1561272314,66,-13.19,49.05,78.35,4.47
497,Hobyo,68,SO,1561272315,49,5.35,48.53,85.73,20.74
498,Mareeba,20,AU,1561272315,53,-16.99,145.42,77.0,11.41
499,Kaeo,11,NZ,1561272316,100,-35.1,173.78,54.0,8.63
500,San Ramon,98,NI,1561272317,88,12.92,-85.84,70.07,6.89
501,Boffa,100,GN,1561272318,84,10.18,-14.04,80.15,14.81
502,Asyut,0,EG,1561272319,42,27.18,31.19,81.41,11.52
503,Cayenne,98,GF,1561272321,100,4.94,-52.33,75.2,3.36
504,Margate,75,AU,1561272321,66,-43.03,147.26,50.0,4.7
505,Savannakhet,40,TH,1561272322,59,16.57,104.76,95.0,2.24
506,Hays,90,US,1561272134,82,38.88,-99.33,64.4,13.87
507,Antofagasta,90,CL,1561272122,76,-23.65,-70.4,57.2,6.93
508,Basoko,33,CD,1561272325,75,1.23,23.61,74.93,1.32
509,Northam,0,GB,1561272325,87,51.04,-4.21,61.0,4.7
510,Linkou,18,CN,1561272327,59,45.29,130.27,74.75,7.63
511,Casper,90,US,1561272119,76,42.87,-106.31,53.01,3.36
512,Labuhan,60,ID,1561272328,47,-2.54,115.51,91.13,3.42
513,Methoni,0,GR,1561272329,61,36.82,21.7,84.99,7.18
514,Colac,3,AU,1561272330,84,-38.34,143.59,55.0,1.01
515,Mokhsogollokh,92,RU,1561272331,83,61.4,128.95,67.73,6.78
516,Taikang,48,CN,1561272332,28,46.86,124.44,88.79,11.25
517,Cape Coast,97,GH,1561272333,91,5.11,-1.24,76.91,10.29
518,Enid,40,US,1561272309,88,36.4,-97.88,78.8,8.05
519,Te Anau,11,NZ,1561272335,85,-45.41,167.72,39.83,1.05
520,Bowen,0,AU,1561272335,68,-20.01,148.25,72.0,12.75
521,Kiri Buru,46,IN,1561272336,45,22.08,85.35,94.19,8.23
522,Clinton,90,US,1561272337,83,41.84,-90.19,73.4,8.05
523,Sawtell,75,AU,1561272338,67,-30.38,153.1,62.01,20.8
524,Port Hardy,90,CA,1561272339,87,50.7,-127.42,51.8,2.24
525,Iralaya,79,HN,1561272340,89,15.0,-83.23,76.91,4.7
526,Sampit,64,ID,1561272341,54,-2.54,112.95,88.97,4.88
527,Corinth,0,GR,1561272342,37,37.94,22.93,88.0,3.02
528,Vestmannaeyjar,34,IS,1561272342,76,63.44,-20.27,50.81,13.02
529,Haimen,37,CN,1561272344,44,31.87,121.18,89.01,1.01
530,Port Hawkesbury,90,CA,1561272345,76,45.62,-61.36,55.99,18.34
531,Ponta Delgada,75,PT,1561272345,82,37.73,-25.67,64.4,12.75
532,Charters Towers,0,AU,1561272346,26,-20.07,146.27,67.37,11.88
533,Ampanihy,0,MG,1561272347,50,-24.69,44.75,70.79,8.86
534,Sompeta,46,IN,1561272348,50,18.93,84.6,92.21,4.92
535,Belmonte,100,PT,1561272349,58,40.36,-7.35,61.0,3.87
536,Bayevo,18,RU,1561272349,56,53.27,80.77,58.19,10.27
537,Srednekolymsk,80,RU,1561272350,30,67.46,153.71,74.03,16.53
538,Belyy Yar,0,RU,1561272351,50,53.6,91.39,77.0,6.71
539,Caraguatatuba,0,BR,1561272352,93,-23.62,-45.41,57.2,1.12
540,Nouadhibou,20,MR,1561272353,88,20.93,-17.03,66.2,19.46
541,Codrington,75,AU,1561272354,59,-28.95,153.24,62.6,13.87
542,Smithers,90,CA,1561272299,62,54.78,-127.17,53.6,11.41
543,Yuanping,99,CN,1561272355,49,38.72,112.71,75.11,7.85
544,Salina,90,US,1561272357,78,36.29,-95.15,73.99,10.94
545,Senanga,0,ZM,1561272358,66,-16.1,23.3,53.87,3.87
546,Cluses,0,FR,1561272358,77,46.06,6.58,64.4,3.36
547,Magadan,100,RU,1561272359,98,59.56,150.8,42.35,4.38
548,Gambela,91,ET,1561272360,96,8.25,34.59,66.65,1.66
549,Pudozh,0,RU,1561272361,45,61.81,36.54,61.43,14.99
550,Ponazyrevo,48,RU,1561272362,53,58.36,46.31,73.31,9.01
551,Nicoya,100,CR,1561272363,69,10.15,-85.45,72.0,18.01
552,San Carlos de Bariloche,90,AR,1561272364,93,-41.13,-71.31,39.2,5.82
553,Merke,0,KZ,1561272365,19,42.87,73.19,85.73,1.99
554,Yeppoon,90,AU,1561272366,40,-23.13,150.74,71.6,8.05
555,Pangnirtung,86,CA,1561272367,82,66.15,-65.72,35.33,5.26
556,Rio Grande,100,BR,1561272368,93,-32.03,-52.1,65.39,4.56
